Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
CA-2016-152156,2016-11-08,2016-11-11,Second Class,CG-12520,Claire Gute,Consumer,United States,Henderson,Kentucky,42420,South,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,261.96,2,0,41.91
CA-2016-152156,2016-11-08,2016-11-11,Second Class,CG-12520,Claire Gute,Consumer,United States,Henderson,Kentucky,42420,South,FUR-CH-10000454,Furniture,Chairs,Hon Deluxe Fabric Upholstered Stacking Chairs,731.94,3,0,219.58
CA-2016-138688,2016-06-12,2016-06-16,Second Class,DV-13045,Darrin Van Huff,Corporate,United States,Los Angeles,California,90036,West,OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,14.62,2,0,6.87
US-2015-108966,2015-10-11,2015-10-18,Standard Class,SO-20335,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,33311,South,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,957.58,5,0.45,-383.03
US-2015-108966,2015-10-11,2015-10-18,Standard Class,SO-20335,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,33311,South,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,22.37,2,0.2,2.52
CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,FUR-FU-10001487,Furniture,Furnishings,Eldon Expressions Wood and Plastic Desk Accessories,48.86,7,0,14.17
CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,OFF-AR-10002833,Office Supplies,Art,Newell 322,7.28,4,0,1.97
CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,TEC-PH-10002275,Technology,Phones,Mitel 5320 IP Phone VoIP phone,907.15,6,0.2,90.72
CA-2014-145317,2014-01-31,2014-02-05,Second Class,AA-10480,Andrew Allen,Consumer,United States,Concord,North Carolina,28027,South,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,18.50,3,0.2,5.85
CA-2014-145317,2014-01-31,2014-02-05,Second Class,AA-10480,Andrew Allen,Consumer,United States,Concord,North Carolina,28027,South,OFF-AP-10002892,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,114.90,5,0,34.47
CA-2014-145317,2014-01-31,2014-02-05,Second Class,AA-10480,Andrew Allen,Consumer,United States,Concord,North Carolina,28027,South,FUR-TA-10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables,1706.18,9,0.2,85.31
CA-2014-145317,2014-01-31,2014-02-05,Second Class,AA-10480,Andrew Allen,Consumer,United States,Concord,North Carolina,28027,South,TEC-PH-10002033,Technology,Phones,Konftel 250 Conference phone - Charcoal black,911.42,4,0.2,68.36
US-2016-103800,2016-09-07,2016-09-10,First Class,IM-15070,Irene Maddox,Consumer,United States,Seattle,Washington,98103,West,OFF-ST-10004186,Office Supplies,Storage,Sauder Classic Bookcase Traditional,272.74,3,0,10.90
CA-2017-114412,2017-04-15,2017-04-20,Standard Class,PK-19075,Paul Knutson,Consumer,United States,Waterloo,Iowa,50702,Central,OFF-AP-10002311,Office Supplies,Appliances,Cuisinart 12-Cup Programmable Coffee Maker,167.68,8,0,33.54
CA-2017-114412,2017-04-15,2017-04-20,Standard Class,PK-19075,Paul Knutson,Consumer,United States,Waterloo,Iowa,50702,Central,FUR-CH-10003950,Furniture,Chairs,Global Value Mid-Back Manager's Chair Gray,71.37,3,0,21.41
CA-2016-161389,2016-12-05,2016-12-10,Standard Class,AG-10270,Adam Grant,Consumer,United States,Minneapolis,Minnesota,55407,Central,TEC-AC-10003027,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,19.99,4,0,7.99
US-2015-118983,2015-11-22,2015-11-26,Standard Class,XS-21910,Xylona Schneiderman,Consumer,United States,Aurora,Illinois,60504,Central,OFF-PA-10002365,Office Supplies,Paper,Eaton Computer Printout Paper 8.5 x 11,15.55,3,0.2,6.22
CA-2014-105893,2014-11-11,2014-11-18,Standard Class,CB-12370,Carlos Bookman,Consumer,United States,San Jose,California,95125,West,TEC-PH-10004093,Technology,Phones,Panasonic KX-TS550LT Integrated Corded Telephone,194.54,7,0,48.64
CA-2014-167164,2014-05-13,2014-05-15,Second Class,AG-10465,Alejandro Grove,Consumer,United States,West Jordan,Utah,84084,West,OFF-ST-10000107,Office Supplies,Storage,Fellowes Bankers Box Recycled Super Stor/Drawer,15.76,2,0.2,5.52
CA-2014-143336,2014-08-27,2014-09-01,Standard Class,ZC-21910,Zuschuss Carrol,Consumer,United States,Los Angeles,California,90032,West,TEC-PH-10001949,Technology,Phones,Cisco SPA 501G IP Phone,213.48,3,0.2,16.01
CA-2014-143336,2014-08-27,2014-09-01,Standard Class,ZC-21910,Zuschuss Carrol,Consumer,United States,Los Angeles,California,90032,West,TEC-PH-10001977,Technology,Phones,Motorola Razr2 V9m Flip Phone,134.54,2,0.2,10.09
US-2016-152893,2016-06-16,2016-06-20,Standard Class,KH-16630,Karl Braun,Consumer,United States,Minneapolis,Minnesota,55407,Central,FUR-FU-10000010,Furniture,Furnishings,Tenex Personal Project File with Scoop Front Design,16.48,3,0.2,2.47
US-2016-152893,2016-06-16,2016-06-20,Standard Class,KH-16630,Karl Braun,Consumer,United States,Minneapolis,Minnesota,55407,Central,OFF-PA-10003177,Office Supplies,Paper,Xerox 1967,892.08,6,0.2,89.21
CA-2015-106320,2015-09-25,2015-09-30,Standard Class,YS-21880,Yoseph Carroll,Corporate,United States,Houston,Texas,77095,Central,OFF-BI-10004738,Office Supplies,Binders,Cardinal Slant-D Ring Binder Heavy Gauge Vinyl,54.84,3,0,27.42
